Pointer,Clarity,Color,Price,Font
0.18-0.22,IF,D,1510,BOLD
0.18-0.22,VVS1,D,1510,BOLD
0.18-0.22,VVS2,D,1510,BOLD
0.18-0.22,VS1,D,1260,BOLD
0.18-0.22,VS2,D,1260,BOLD
0.18-0.22,SI1,D,1060,BOLD
0.18-0.22,SI2,D,920,BOLD
0.18-0.22,SI3,D,810,BOLD
0.18-0.22,I1,D,690,BOLD
0.18-0.22,I2,D,560,BOLD
0.18-0.22,I3,D,480,BOLD
0.18-0.22,IF,E,1510,BOLD
0.18-0.22,VVS1,E,1510,BOLD
0.18-0.22,VVS2,E,1510,BOLD
0.18-0.22,VS1,E,1260,BOLD
0.18-0.22,VS2,E,1260,BOLD
0.18-0.22,SI1,E,1060,BOLD
0.18-0.22,SI2,E,920,BOLD
0.18-0.22,SI3,E,810,BOLD
0.18-0.22,I1,E,690,BOLD
0.18-0.22,I2,E,560,BOLD
0.18-0.22,I3,E,480,BOLD
0.18-0.22,IF,F,1510,BOLD
0.18-0.22,VVS1,F,1510,BOLD
0.18-0.22,VVS2,F,1510,BOLD
0.18-0.22,VS1,F,1260,BOLD
0.18-0.22,VS2,F,1260,BOLD
0.18-0.22,SI1,F,1060,BOLD
0.18-0.22,SI2,F,920,BOLD
0.18-0.22,SI3,F,810,BOLD
0.18-0.22,I1,F,690,BOLD
0.18-0.22,I2,F,560,BOLD
0.18-0.22,I3,F,480,BOLD
0.18-0.22,IF,G,1350,BOLD
0.18-0.22,VVS1,G,1350,BOLD
0.18-0.22,VVS2,G,1350,BOLD
0.18-0.22,VS1,G,1140,BOLD
0.18-0.22,VS2,G,1140,BOLD
0.18-0.22,SI1,G,970,BOLD
0.18-0.22,SI2,G,830,BOLD
0.18-0.22,SI3,G,730,BOLD
0.18-0.22,I1,G,630,BOLD
0.18-0.22,I2,G,510,BOLD
0.18-0.22,I3,G,430,BOLD
0.18-0.22,IF,H,1350,BOLD
0.18-0.22,VVS1,H,1350,BOLD
0.18-0.22,VVS2,H,1350,BOLD
0.18-0.22,VS1,H,1140,BOLD
0.18-0.22,VS2,H,1140,BOLD
0.18-0.22,SI1,H,970,BOLD
0.18-0.22,SI2,H,830,BOLD
0.18-0.22,SI3,H,730,BOLD
0.18-0.22,I1,H,630,BOLD
0.18-0.22,I2,H,510,BOLD
